"";"t";"seqno";"score";"LTV";"OIR";"DTI";"UPB";"number.borrowers";"loan.age";"orig.day";"vyear";"def";"def3";"p1"
"1";1;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;2,39037622526106e-07
"2";2;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;6,08840056894569e-06
"3";3;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;1,80476428975037e-05
"4";4;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;2,98090876185945e-05
"5";5;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;3,95039052688443e-05
"6";6;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;4,76157890819571e-05
"7";7;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;5,49802287367131e-05
"8";8;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;6,22714028974245e-05
"9";9;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;6,99690590328711e-05
"10";10;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;7,84134091831813e-05
"11";11;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;8,78540957359239e-05
"12";12;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;9,84803095616431e-05
"13";13;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;0,000110435659122432
"14";14;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;0,000123822706978796
"15";15;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;0,000138700818890884
"16";16;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;0,000155079824258955
"17";17;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;0,000172911320602188
"18";18;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;0,000192079156374489
"19";19;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;0,000212390539808402
"20";20;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;0,000233569221109909
"21";21;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;0,000255252186380857
"22";22;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;0,000276991212636912
"23";23;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;0,000298260413152351
"24";24;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;0,000318470522142984
"25";25;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;0,000336990124576786
"26";26;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;0,000353173357336234
"27";27;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;0,000366392849090187
"28";28;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;0,000376075911820251
"29";29;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;0,000381741348452539
"30";30;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;0,000383033803663029
"31";31;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;0,000379752450244218
"32";32;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;0,000371871031533511
"33";33;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;0,000359546884917687
"34";34;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;0,000343117510858006
"35";35;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;0,000323084430065544
"36";36;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;0,000300085348061752
"37";37;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;0,00027485685650197
"38";38;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;0,000248190880596471
"39";39;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;0,000220888696331632
"40";40;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;0,000193716506217122
"41";41;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;0,000167366260549174
"42";42;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;0,000142424694529458
"43";43;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;0,00011935253153336
"44";44;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;9,84746304425038e-05
"45";45;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;7,99806943408463e-05
"46";46;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;6,39351587069738e-05
"47";47;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;5,02941517990788e-05
"48";48;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;3,89270286976963e-05
"49";49;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;2,96399283014828e-05
"50";50;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;2,21990450890464e-05
"51";51;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;1,63517651763216e-05
"52";52;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;1,18443926073337e-05
"53";53;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;8,43579145021985e-06
"54";54;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;5,90681235269108e-06
"55";55;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;4,06580379939248e-06
"56";56;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;2,75080135021824e-06
"57";57;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;1,82914114336289e-06
"58";58;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;1,19527498743737e-06
"59";59;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;7,67503291975245e-07
"60";60;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;4,84222856121715e-07
"61";61;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;3,00140995920579e-07
"62";62;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;1,82761281812342e-07
"63";63;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;1,09316861571408e-07
"64";64;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;6,42245047283851e-08
"65";65;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;3,70589274756951e-08
"66";66;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;2,10006346993089e-08
"67";67;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;1,16866393322128e-08
"68";68;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;6,38610041325975e-09
"69";69;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;3,42643887325614e-09
"70";70;"F16Q10000006";686;65;3,75;41;125000;2;28;92;2016;0;0;1,80503081145505e-09
"71";1;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;1,08480397190294e-07
"72";2;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;2,763055518518e-06
"73";3;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;8,19048688826084e-06
"74";4;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;1,35282214465452e-05
"75";5;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;1,79281035090666e-05
"76";6;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;2,16096249672568e-05
"77";7;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;2,49519523999797e-05
"78";8;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;2,82610550107423e-05
"79";9;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;3,17546682467357e-05
"80";10;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;3,55872054557615e-05
"81";11;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;3,98719799267472e-05
"82";12;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;4,46948737406915e-05
"83";13;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;5,0121086084496e-05
"84";14;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;5,61971919718306e-05
"85";15;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;6,29501654467756e-05
"86";16;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;7,03845010593317e-05
"87";17;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;7,84782651514499e-05
"88";18;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;8,71787731372027e-05
"89";19;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;9,63985497910342e-05
"90";20;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;0,000106012229601083
"91";21;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;0,000115855050458093
"92";22;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;0,000125723553855342
"93";23;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;0,000135379005132167
"94";24;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;0,000144553874876464
"95";25;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;0,000152961475996046
"96";26;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;0,000160308542206877
"97";27;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;0,000166310188644355
"98";28;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;0,000170706352060782
"99";29;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;0,000173278512831389
"100";30;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;0,000173865301713194
"101";31;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;0,000172375532786771
"102";32;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;0,000168797307709533
"103";33;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;0,000163202111548251
"104";34;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;0,00015574324809787
"105";35;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;0,000146648498823054
"106";36;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;0,000136207470329165
"107";37;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;0,000124754645400631
"108";38;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;0,000112649597600795
"109";39;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;0,000100256107715828
"110";40;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;8,79219940958629e-05
"111";41;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;7,59613306057826e-05
"112";42;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;6,46403993336993e-05
"113";43;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;5,41682613276447e-05
"114";44;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;4,46922961577534e-05
"115";45;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;3,62985345010743e-05
"116";46;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;2,90161550124951e-05
"117";47;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;2,28251882268232e-05
"118";48;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;1,76662933740272e-05
"119";49;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;1,3451450839604e-05
"120";50;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;1,00745233620562e-05
"121";51;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;7,4208468653848e-06
"122";52;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;5,37527333714151e-06
"123";53;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;3,8283601316253e-06
"124";54;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;2,68064636425178e-06
"125";55;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;1,84515277660267e-06
"126";56;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;1,24837433240789e-06
"127";57;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;8,30104181849874e-07
"128";58;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;5,42441694905629e-07
"129";59;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;3,48309546882592e-07
"130";60;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;2,19750741494022e-07
"131";61;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;1,36210422414221e-07
"132";62;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;8,29409848671573e-08
"133";63;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;4,96103316178512e-08
"134";64;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;2,91464542001592e-08
"135";65;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;1,68181338403334e-08
"136";66;"F16Q10000027";774;95;4;30;44000;1;52;61;2016;0;0;9,53053706799341e-09
